run,T,horizon,p,h_estimator,file,alpha,seed,H_theory,H_fit,H_whittle,d,n_train,n_test,n_fc,acf_dev,mse_norros_f,mse_linearP_f,mse_farima_f,mse_persist,mase_norros_f,mase_linearP_f,mase_farima_f,mase_persist
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.24_s06.csv,1.24,6,0.88,0.8950000000000004,0.8450543625550072,0.36818560320640886,5040,1440,1392,0.15744904704870377,14069976977513.469,14014024610049.945,13979782406896.361,17569920227088.193,0.8889675902361598,0.8873022002622363,0.8868177166067585,0.9998041746065592
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.24_s07.csv,1.24,7,0.88,0.8700000000000003,0.8451451365737153,0.3777319761440636,5040,1440,1392,0.09164733359548982,13264246440573.078,13238654778347.31,13246772428301.195,17185839447508.012,0.868070394794996,0.8670829869975514,0.8673975122111214,0.9994342106283179
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.24_s08.csv,1.24,8,0.88,0.8900000000000003,0.8687603639611272,0.37024286154539604,5040,1440,1392,0.1494849230189506,12433477908304.422,12405701992076.465,12425018087324.713,15811592273489.77,0.8864245765564097,0.8861083649546333,0.8868677140227781,1.0013631268737024
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.24_s09.csv,1.24,9,0.88,0.8850000000000003,0.8897625658929036,0.37712144957103627,5040,1440,1392,0.13312382382097765,12992640848863.64,12954294886849.72,12971073968953.639,16742077762184.08,0.8921807527039827,0.8907393190829717,0.8909934768040966,0.9996739748988391
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s00.csv,1.44,0,0.78,0.7950000000000003,0.7859951419606179,0.26447712303391324,5040,1440,1392,0.04078657921685455,6529240125366.109,6531267340728.052,6540079907515.9795,9238824185857.889,0.8345623994963841,0.8349660093939467,0.8355698148935572,0.9994697761807613
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s01.csv,1.44,1,0.78,0.7800000000000002,0.7303443579408336,0.25243032577573044,5040,1440,1392,0.05945686835433517,6829334057727.457,6822441569706.644,6822345428555.515,9812278920438.764,0.8348555507224504,0.8348883698439252,0.8346482510206614,0.9994302024526331
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s02.csv,1.44,2,0.78,0.7900000000000003,0.7591365564066291,0.29515384018240093,5040,1440,1392,0.030808024500100034,6142574462847.134,6125035861745.509,6132562786882.147,8582193662941.049,0.8437898962445969,0.8430682786151512,0.8435262478624366,0.9996063289104354
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s03.csv,1.44,3,0.78,0.7800000000000002,0.7980098683231748,0.25114980377232354,5040,1440,1392,0.044479612465744306,6874822331965.491,6870957007412.104,6866719642260.5,9739625997459.705,0.8346789756197577,0.8340379210443434,0.834296488428299,1.001300910757191
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s04.csv,1.44,4,0.78,0.7750000000000002,0.7771099956443108,0.26543231393130917,5040,1440,1392,0.03237328088045488,6967717000836.874,6963178405130.92,6955234203514.004,9711165639701.395,0.8389315153892806,0.8385524747819222,0.8381610775034816,0.9995290254201563
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s05.csv,1.44,5,0.78,0.8050000000000003,0.7696429910886742,0.295134399146491,5040,1440,1392,0.05113417298604486,6682050934681.677,6672293699260.915,6673010105876.85,9416593248247.254,0.8449492482715572,0.8439518019478639,0.8437900904155705,0.9994526528371657
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s06.csv,1.44,6,0.78,0.7950000000000003,0.8376398582606228,0.2948606444695248,5040,1440,1392,0.01738181662850477,5964333441692.59,5944820974034.122,5950020813948.526,8398443640468.9795,0.8377757163077076,0.8363473939407404,0.8366139553261911,0.9998526955593681
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s07.csv,1.44,7,0.78,0.7850000000000003,0.782633164291704,0.27445176647175346,5040,1440,1392,0.03559512074188903,6866932186625.5,6866585317947.527,6859163214964.211,9458332841680.297,0.8388423709084775,0.8393612825703073,0.8389098843393137,0.9995992298389553
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s08.csv,1.44,8,0.78,0.7900000000000003,0.7794992828894476,0.2887041376046151,5040,1440,1392,0.04987379886642579,6777854064789.319,6766193032956.68,6765939774175.741,9501031213224.273,0.8445182620391091,0.8440110918850846,0.8439784095305356,0.9994725852554956
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.44_s09.csv,1.44,9,0.78,0.7900000000000003,0.8041448443165342,0.28661924142458967,5040,1440,1392,0.017378111291139198,6458851769822.684,6445923969594.61,6443574683174.235,9185383258940.742,0.8449523792051299,0.8438484547628972,0.8437112981087171,0.9996280265068891
2026-08-13 12:55:00,48,1,2,fit,onoff_a1.04_s00.csv,1.04,0,0.98,0.9600000000000004,0.9989945657015854,0.4783172174173108,5040,1440,1392,0.20240854776826123,7527420808789.135,7496315897059.488,7489032577882.497,8706500599084.848,0.9433583395908897,0.9414945467193659,0.9411370798956796,0.9999633124447787
2026-08-13 12:55:00,48,1,2,fit,onoff_a1.04_s01.csv,1.04,1,0.98,0.9600000000000004,0.9989957487766645,0.48717446555722743,5040,1440,1392,0.1970079848855103,9524801942975.248,9530807468351.195,9546573792108.377,11277032555978.736,0.9236303035500021,0.9241796122335284,0.9253648201011214,0.9998672613913018
2026-08-13 12:55:00,48,1,2,fit,onoff_a1.04_s02.csv,1.04,2,0.98,0.9700000000000004,0.9762716743690929,0.45735883454726944,5040,1440,1392,0.2386922076507202,9328140829348.346,9306030166562.08,9276717749582.727,10833409489769.83,0.9402810410428484,0.9396100513733966,0.9375172901006082,0.9997481680743595
