policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0,0.0,5.657542423656726,0.0,745.3054148530952,1.0024617873051604,0.169590370723216,4.585985922159211,1.2214689408361872,1.5958591479778064,0.0,0.0,0.0,0.2893616715825015,0.22682181483295683,1.2012057706331638,0.33762778962767537,0.23999462244932748,2.668597387053462,0.37547232609483433,0.25364224266164265,4.107041825975952,4.107041825975952,0.37547232609483433,0.08611065451233281,0.6478065949247965,0.7159504339523529,0.6835310895332775,0.8843333883831082,0.772246516204849,1.0256916689110827,0.9155336533909446,0.824792729236793,3.473650184370405,0.9159988577037232,0.8228366916393925,0.9137379988180991,0.835116884034791,0.9174373447536504,0.8072343188590299,0.915724733758491,0.9174373447536504,0.8217292981777377,4.028987014197005,3.8204648284300635,2.571498710484146,0.0016265440333622467,22.348846240787314,5,1.5,4800,6300.0,0.9434247602613841,745.3055606064935,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9759620925878335,0.9998959599454682,0.982757414469544,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,5.657542423656776,0.0,745.3054148531102,0.98879727623697,0.1421395495554159,4.513668917437237,1.1887879523578453,1.3843208896020995,0.0,0.0,0.0,0.2912065404370356,0.22725340062334504,1.2347117092105442,0.33577709558344415,0.23938649588491107,3.03492770287407,0.3618136402164068,0.23590132034364908,3.9920373608144333,3.9920373608144333,0.3618136402164068,0.07060709977937117,0.6506331102815949,0.7170347611893583,0.6811004025789963,0.8756140615746846,0.7461898783940607,0.8651849644010784,0.9505388125244522,0.800697932255367,3.611377100083248,0.9328054378743591,0.8019008118068441,0.9502605162801766,0.8114712394957974,0.993216264667868,0.763022483229832,0.9587607396074679,0.993216264667868,0.7921315115108246,4.2312904511963705,3.8176111681427325,2.785229680910641,0.0006231116822971072,22.347842808436244,5,1.5,4800,6300.0,0.9434247602613841,745.3055606064935,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9759620925878335,0.9998959599454682,0.982757414469544,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,6.65934662963808,0.0,737.3911616258715,0.9653082486639013,0.1418249397380531,3.7310547241489593,1.1679897802764974,1.329396521118873,0.0,0.0,0.0,0.27648012036454644,0.22306015223825007,1.0827124647063302,0.32544640418720855,0.23490123465157658,1.3263157902051192,0.3633817241120667,0.23373641188659397,3.3342153576678384,3.3342153576678384,0.3633817241120667,0.0869016037475203,0.6210942279760769,0.6914930817331619,0.6823987760828775,0.7906194375067259,0.739277685830225,0.8517543741721086,0.92484963234832,0.8431363206797038,3.4380282211683366,0.9245465409880999,0.8334408906237503,0.9216466863970816,0.8588040377231823,0.931186341111051,0.8468456534614603,0.925793189498744,0.931186341111051,0.8463635272694643,4.065483934388532,3.734098989420089,2.5145017396963887,0.0007349731554202302,26.30510708753919,6,1.5,4800,6300.0,0.9334066528749774,737.3912557712322,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9584967116979186,0.9998955484169462,0.9998961567669699,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,6.659346629638679,0.0,737.3911616258393,0.9632536009740602,0.1333672365913255,3.2791464247848134,1.1663352201691615,1.289704318592065,0.0,0.0,0.0,0.2742531632042433,0.22234893893524454,1.0149992602252664,0.32885758492434336,0.23613425286596976,1.7662561067276108,0.3601428528455675,0.22832299476406806,2.8201889904648163,2.8201889904648163,0.3601428528455675,0.08588968964132422,0.6175095446432015,0.6878560880426736,0.6841570853378075,0.8247382302246208,0.7365518944016086,0.833624260515837,1.0579055140976754,0.8080402783789062,3.556891845282897,1.1821159606598406,0.8008976508131223,0.924427047776293,0.8095432051703396,0.9833925723703842,0.8411894238524479,1.029978526935506,1.1821159606598406,0.8172100932786366,4.102081418017798,4.010834139333969,2.5577599784969243,0.00042913242246799585,26.304801246806242,6,1.5,4800,6300.0,0.9334066528749774,737.3912557712322,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9584967116979186,0.9998955484169462,0.9998961567669699,1500,900,450,150,6|3|1,True,True,
linearp,6.70160062152531e-07,3.6610584990860278,3.956457204406135,0.0,758.7439880852091,1.1498089329133236,0.4255212340745401,8.791933428542626,1.7855509870308601,3.049868647847569,3.3590362733796946,0.3020222257063333,0.0,0.3245525977546138,0.2784842786622249,8.158187045987221,0.38327919360356066,0.31209726325435116,8.291925877599134,0.4419771415553212,0.37181525694195944,5.031118835078147,8.291925877599134,0.4419771415553212,0.11742454380070738,0.6884752604491533,0.7871610010201844,0.7537941848066917,1.1728446837932471,0.9790372950919909,1.986005777980602,0.9267886895535625,0.8486804502664121,3.445544715324948,0.927800714263156,0.8348869595637955,0.9210702608440591,0.8723256268894592,0.9336302101383925,0.8382096041340241,0.9275003950818692,0.9336302101383925,0.8484740635290929,3.995738903383927,3.674664280108253,2.666230962482664,0.01461527002688347,15.642301242514007,7,1.5,4800,6300.0,0.9604362380443371,758.7446280550263,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9479707709619304,0.9998943307542512,0.95369093147876,1500,900,450,150,6|3|1,True,True,
dlinear,6.966534284923617e-07,3.8057907346900066,3.9564597489250874,0.0,758.7439679835104,1.1718405575858284,0.4872404225707982,9.367172120160761,1.8879951290248078,3.370786710752673,2.0216010599922223,1.7841896746977848,0.0,0.31840893377888124,0.2622580848190418,8.158187045987221,0.40940766608481616,0.3819224733670077,8.291925877599134,0.44402395772213876,0.37835755229300094,5.375583334344523,8.291925877599134,0.44402395772213876,0.12561502394325752,0.6827632634326235,0.7660423799786641,0.8182554042217877,1.674192676733466,0.9899732057368436,2.042738162681748,0.9813906364176084,0.8112202567312691,3.591910429209131,0.9319458191677287,0.8107963445913347,1.0775975575607162,0.8113672532632038,0.9394327856475228,0.8128492973524497,0.9829920541253224,1.0775975575607162,0.811670965068996,4.128296190118816,3.9750778998584124,2.672357197650163,0.017625717592368206,15.645311690079488,7,1.5,4800,6300.0,0.9604362380443371,758.7446280550263,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9479707709619304,0.9998943307542512,0.95369093147876,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,6.270098592653417,0.0,740.466221118068,0.9753378552948048,0.15140701953705488,4.981228397725395,1.1600217411149363,1.3406667327876225,0.0,0.0,0.0,0.28038993583165206,0.22393511346533468,1.3342124149530623,0.3342661122221523,0.23745916762619634,1.7124389357726468,0.3606818072411355,0.24251161061151771,4.509635002337729,4.509635002337729,0.3606818072411355,0.08029187140948343,0.617217987873657,0.685475860047596,0.6758913340937991,0.8660506023206147,0.72698209021039,0.8348597427905714,0.9094010092303068,0.8506333007149566,3.43412779934601,0.9127977506536409,0.8428330106263259,0.9058435270411187,0.8711014751542407,0.9074963129614249,0.8204642388829632,0.9087125302187281,0.9127977506536409,0.8447995748878432,4.008652973982157,3.7788702432384564,2.5148601808174167,0.001281319062512841,24.768113320816234,8,1.5,4800,6300.0,0.9372991594892294,740.4663359964912,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998944722944533,0.9998934381380845,0.9865163219343764,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,6.270098592652872,0.0,740.466221118065,0.9770471960182409,0.15656562372222016,4.981228397725395,1.1641994382778575,1.3682236235423286,0.0,0.0,0.0,0.27994549436711463,0.22383343453574361,1.4368275808425996,0.3350242293347251,0.2377883233568997,1.8005020946780983,0.3620774723166034,0.2455034439259074,4.510373052530929,4.510373052530929,0.3620774723166034,0.08213197794948879,0.6165342337519664,0.6824799438406519,0.6766655537486668,0.8647315405313309,0.7283645456191125,0.8463806831004299,0.9130524142616901,0.8447046101566531,3.43578052194237,0.9142815096834055,0.8367521803015449,0.9125121015268872,0.8721168976755579,0.9110794745797306,0.7892099583415512,0.9126243619300078,0.9142815096834055,0.832693012106218,4.00341876892449,3.789035680390218,2.514887116512402,0.001377139904928311,24.76820914165865,8,1.5,4800,6300.0,0.9372991594892294,740.4663359964912,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998944722944533,0.9998934381380845,0.9865163219343764,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,5.018039012625084,0.0,750.3574918002753,1.0657067857651426,0.2744037770672743,8.676698380886078,1.3175264663906816,2.060959749615927,0.0,0.0,0.0,0.3042041317903952,0.23890561942108776,3.9912647347850636,0.37104737501849966,0.2855653324893208,6.941068337346146,0.3904552789562584,0.27763498512598184,4.176154852683316,6.941068337346146,0.3904552789562584,0.08625114716586325,0.6751415605369371,0.778877555998346,0.7313610761419129,0.8886150757905498,0.7716382124376028,1.2221095923969878,0.920190868571761,0.8466571303299603,3.4006048491360565,0.9231258400860082,0.8508774268656958,0.9137543260626838,0.838572139786294,0.9237059058481035,0.8372798623610633,0.9201953573322652,0.9237059058481035,0.842243143004351,3.9771429875424475,3.7450679332466885,2.479603626619033,0.0048749799925153995,19.82607759477584,9,1.5,4800,6300.0,0.9498197402157397,750.3575947704344,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998934489898447,0.949328661190483,0.9998956301668571,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,5.0180390126250405,0.0,750.3574918002907,1.0421035756117303,0.23307782396622814,7.453473603985498,1.2439331054011544,1.7711402867039723,0.0,0.0,0.0,0.3130079038223879,0.25808196343568474,5.686174475819892,0.35895165217047964,0.26268601203094927,5.672189952742525,0.37014401961868193,0.2461715450277288,3.456273331770211,5.686174475819892,0.37014401961868193,0.057136115796294004,0.6892250131977694,0.7914590885640892,0.7090523130156696,0.8770930397040314,0.7338611526976015,0.9521933025675672,1.0047614884301053,0.83118093595625,3.9904605914730067,0.9238507650033357,0.8459683027325146,1.1209219480017447,0.7882420843809287,1.0126784272242615,0.8319663341737,1.0191503800764472,1.1209219480017447,0.8220589070957144,5.028726948672531,4.210265345903384,2.732389479843105,0.0027513694640529766,19.823953984247378,9,1.5,4800,6300.0,0.9498197402157397,750.3575947704344,790.0,1.0,2.0,1.04,1.04,0.98,1.04,0.98,1.04,0.98,0.9998934489898447,0.949328661190483,0.9998956301668571,1500,900,450,150,6|3|1,True,True,
