idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7261,2001-11-07 10:10:00,1955188384856.0,0.0,1521193359271.103,1510083682141.575,1607312130912.7373,1674957838672.0
7262,2001-11-07 10:20:00,2034616062736.0,0.0,1716089216545.3794,1698647840847.748,1870034101393.4248,1955188384856.0
7263,2001-11-07 10:30:00,2167945007400.0,0.0,1802288838712.0535,1772283846285.2593,1918892871773.3167,2034616062736.0
7264,2001-11-07 10:40:00,1698540419160.0,0.0,1915418614128.4226,1887215863749.948,2045909947032.659,2167945007400.0
7265,2001-11-07 10:50:00,1907509321864.0,0.0,1648425308903.7585,1608230032875.7969,1574036943165.1382,1698540419160.0
7266,2001-11-07 11:00:00,1936473149352.0,0.0,1759117935425.0137,1753532604294.8154,1842203419262.2666,1907509321864.0
7267,2001-11-07 11:10:00,2054962050832.0,0.0,1789858662570.21,1768029283710.2393,1852361346587.4387,1936473149352.0
7268,2001-11-07 11:20:00,2143425248248.0,0.0,1875751267058.2412,1857372307214.0317,1968264405243.7734,2054962050832.0
7269,2001-11-07 11:30:00,2082366557576.0,0.0,1951112577974.7336,1928014293480.5847,2045741393003.109,2143425248248.0
7270,2001-11-07 11:40:00,1871830048472.0,0.0,1932923303622.3748,1906267289242.3945,1979485624331.0166,2082366557576.0
7271,2001-11-07 11:50:00,1822212650152.0,0.0,1807468324348.8809,1783757475569.8682,1784029126918.7532,1871830048472.0
7272,2001-11-07 12:00:00,1975266296248.0,0.0,1764293553740.9907,1752871754441.8198,1764157335457.7234,1822212650152.0
7273,2001-11-07 12:10:00,2075432567688.0,0.0,1854381238233.617,1846487523246.1714,1924760963707.0942,1975266296248.0
7274,2001-11-07 12:20:00,1690565049800.0,0.0,1929829790052.2659,1914212498420.1165,2008038802745.314,2075432567688.0
7275,2001-11-07 12:30:00,1705582808496.0,0.0,1700520180190.6685,1675261906359.3901,1616685485792.2817,1690565049800.0
7276,2001-11-07 12:40:00,1443645847008.0,0.0,1686155122107.2344,1686012709495.8262,1680328950518.976,1705582808496.0
7277,2001-11-07 12:50:00,1340974575944.0,0.0,1510535399850.691,1501435279117.6245,1421979975737.7617,1443645847008.0
7278,2001-11-07 13:00:00,1535092361672.0,0.0,1417440479932.9143,1422656497031.523,1351186009983.2305,1340974575944.0
7279,2001-11-07 13:10:00,1276615853592.0,0.0,1517141839042.541,1527545752420.7715,1554051765312.4736,1535092361672.0
7280,2001-11-07 13:20:00,1288921111384.0,0.0,1356498525984.9478,1349401837562.375,1272807791508.9507,1276615853592.0
7281,2001-11-07 13:30:00,1395797462208.0,0.0,1341506716124.5464,1351621727800.9377,1313426688127.7769,1288921111384.0
7282,2001-11-07 13:40:00,1429440248888.0,0.0,1397074054222.6033,1404075166255.4336,1414916316373.7334,1395797462208.0
7283,2001-11-07 13:50:00,1297303206832.0,0.0,1420454623275.231,1421030400348.204,1432296164622.4849,1429440248888.0
7284,2001-11-07 14:00:00,1499140198392.0,0.0,1340145292700.998,1337570639953.8916,1296938063431.2935,1297303206832.0
7285,2001-11-07 14:10:00,1393130370848.0,0.0,1457448269990.8105,1465873198970.5967,1511149541555.0215,1499140198392.0
7286,2001-11-07 14:20:00,1348724079992.0,0.0,1402389003507.0366,1395511116725.1116,1382309906605.8025,1393130370848.0
7287,2001-11-07 14:30:00,1428761857832.0,0.0,1370130075045.1108,1371219891069.4426,1349748923030.4644,1348724079992.0
7288,2001-11-07 14:40:00,1418305731352.0,0.0,1416076180273.8074,1419789402960.1655,1435316576332.7651,1428761857832.0
7289,2001-11-07 14:50:00,1700146461136.0,0.0,1413636204776.847,1411992152557.6768,1415371286329.767,1418305731352.0
7290,2001-11-07 15:00:00,1748816423864.0,0.0,1593566241829.1553,1597450124492.6133,1693840442841.7754,1700146461136.0
7291,2001-11-07 15:10:00,1497171685224.0,0.0,1651986110364.233,1639927566119.313,1710616363380.6543,1748816423864.0
