idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7293,2001-11-07 15:30:00,1402677520080.0,618430136437.1875,1507288090376.2158,1512942083164.0757,1467768905082.4866,1449858541870.8726
7294,2001-11-07 15:40:00,1542228922592.0,613721713184.7188,1461259085284.319,1467312038180.0608,1416915111838.1816,1397969096827.545
7295,2001-11-07 15:50:00,1431248808784.0,620099713170.6562,1549544699484.425,1559765422762.2598,1526311034829.6204,1548606922577.9514
7296,2001-11-07 16:00:00,1528021187784.0,630903076268.25,1493738747810.4001,1492786503541.4756,1454612198056.7712,1442052171881.5813
7297,2001-11-07 16:10:00,1651486516296.0,642364182192.7812,1552576002163.232,1561425968245.2495,1525031505295.4607,1539482293708.525
7298,2001-11-07 16:20:00,1655256504840.0,655454855811.25,1641799324677.6006,1645627106601.024,1628565247917.9438,1664577189914.469
7299,2001-11-07 16:30:00,1770549426992.0,651728125919.375,1646222621399.6777,1644611935443.6594,1627959409247.2295,1651529774948.117
7300,2001-11-07 16:40:00,1891871083184.0,645493898277.1875,1721966455191.524,1724272192982.9136,1716697686429.2898,1764315199349.8213
7301,2001-11-07 16:50:00,1977064718400.0,635744687851.5625,1807629894940.4858,1804908814449.9746,1816782707744.13,1882121872758.3796
7302,2001-11-07 17:00:00,1872250296392.0,616202912601.5,1868514015331.431,1861622152923.9683,1885807397891.9087,1957522943149.945
7303,2001-11-07 17:10:00,1939210133272.0,585894217721.8438,1803456351629.15,1791891515724.317,1804597506849.7505,1841941601512.354
7304,2001-11-07 17:20:00,1950280891248.0,562906827056.0938,1845588798073.0334,1842380763464.1543,1856772509012.9617,1916222742606.253
7305,2001-11-07 17:30:00,1973087074544.0,542345741958.53125,1860221977350.2153,1851691946754.3823,1872017886418.0242,1929719806150.45
7306,2001-11-07 17:40:00,1847349637352.0,527630323462.03125,1883631951398.878,1875695478749.5657,1898159437877.1748,1958371656047.5007
7307,2001-11-07 17:50:00,1629348076376.0,497821467267.03125,1793621576100.1826,1782332598479.5825,1790463780107.8809,1817540781156.9993
7308,2001-11-07 18:00:00,1553776762048.0,474144024096.65625,1649555451396.2834,1643551497531.4766,1616796993794.3386,1605670633205.6145
7309,2001-11-07 18:10:00,1490944769336.0,466789996606.09375,1594611111222.4104,1598592779095.894,1553095061657.2898,1546422734557.442
7310,2001-11-07 18:20:00,1591963700256.0,450966399233.5,1531175590687.7026,1535206990183.2075,1484122928886.546,1475121171963.4155
7311,2001-11-07 18:30:00,1572902512240.0,443827163726.5625,1586164885774.746,1594520399063.7822,1557648534900.8247,1584824464749.0732
7312,2001-11-07 18:40:00,1516367989880.0,448544373510.25,1583316718598.6357,1582562309216.5486,1558309373018.5298,1577619722023.6968
7313,2001-11-07 18:50:00,1503273415080.0,466169006399.21875,1563132600057.6704,1563457219626.93,1528869207211.2258,1533992622768.9797
