pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 790 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

  forecast_sd_ratio_c2     8.416e-01+/-6e-03 8.139e-01+/-8e-03
  slot_err_c0              3.813e+00+/-4e-02 4.048e+00+/-1e-01
  slot_err_c1              3.843e+00+/-5e-02 4.056e+00+/-1e-01
  slot_err_c2              3.817e+00+/-4e-02 3.976e+00+/-9e-02

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = +0.0188 +/- 0.2945 Mb   linearp better in 3/10
    dimbalance[linearp-dlinear] = -0.0445 +/- 0.0741 Mb   linearp better in 5/10
    dmax[linearp-dlinear] = -0.1582 +/- 0.3835 Mb   linearp better in 6/10
    dmean[linearp-dlinear] = -0.0189 +/- 0.0371 Mb   linearp better in 5/10
  * dmase[linearp-dlinear] = -0.0483 +/- 0.0482    linearp better in 10/10
  * dmase_eq[linearp-dlinear] = -0.0482 +/- 0.0481    linearp better in 10/10
  * dmase_worst[linearp-dlinear] = -0.1074 +/- 0.0994    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0220 +/- 0.0089    linearp better in 0/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0219 +/- 0.0087    linearp better in 0/10
    loss[linearp]/loss[dlinear] = 0.752 (x/ 1.187)   linearp better in 3/4

========================================================================
sample_dt = 15s   decisions/replicate = 480
  metric                             linearp           dlinear
  loss_ratio               5.166e-05+/-3e-05 6.042e-05+/-4e-05
  backlog_mean_Mb          1.169e+00+/-2e-01 1.189e+00+/-2e-01
  backlog_sd_Mb            8.452e-01+/-3e-01 8.713e-01+/-3e-01
  backlog_p95_Mb           2.913e+00+/-9e-01 2.990e+00+/-9e-01
  backlog_p99_Mb           4.669e+00+/-1e+00 4.676e+00+/-1e+00
  backlog_max_Mb           1.006e+01+/-2e+00 9.819e+00+/-2e+00
  backlog_max_cell_Mb      5.927e+00+/-1e+00 5.775e+00+/-1e+00
  backlog_mean_cell_max_Mb 4.213e-01+/-7e-02 4.578e-01+/-9e-02
  backlog_imbalance_Mb     5.818e-02+/-1e-02 1.211e-01+/-5e-02
  waste_avoidable_pct      4.975e+00+/-6e-01 4.975e+00+/-6e-01
  served_Mbps              7.507e+02+/-4e+00 7.507e+02+/-4e+00
  forecast_mase            9.154e-01+/-3e-03 9.535e-01+/-1e-02
  forecast_mase_eq         9.154e-01+/-3e-03 9.536e-01+/-1e-02
  forecast_mase_worst      9.291e-01+/-4e-03 1.011e+00+/-2e-02
  forecast_sd_ratio        8.023e-01+/-5e-03 7.844e-01+/-5e-03
  forecast_sd_ratio_eq     7.988e-01+/-5e-03 7.813e-01+/-5e-03
  slot_err                 3.653e+01+/-5e-01 3.818e+01+/-5e-01
  deficit_Mb_per_period    9.621e-02+/-6e-02 1.235e-01+/-8e-02
  surplus_Mb_per_period    1.964e+02+/-2e+01 1.964e+02+/-2e+01
  backlog_max_c0_Mb        5.509e+00+/-1e+00 5.688e+00+/-1e+00
  backlog_max_c1_Mb        5.597e+00+/-1e+00 5.323e+00+/-1e+00
  backlog_max_c2_Mb        5.086e+00+/-1e+00 5.194e+00+/-1e+00
  backlog_mean_c0_Mb       3.976e-01+/-6e-02 3.523e-01+/-3e-02
  backlog_mean_c1_Mb       3.950e-01+/-6e-02 4.174e-01+/-8e-02
  backlog_mean_c2_Mb       3.768e-01+/-6e-02 4.189e-01+/-9e-02
  backlog_p95_c0_Mb        1.247e+00+/-4e-01 8.152e-01+/-1e-01
  backlog_p95_c1_Mb        1.255e+00+/-5e-01 1.512e+00+/-6e-01
  backlog_p95_c2_Mb        1.065e+00+/-3e-01 1.388e+00+/-6e-01
  backlog_p99_c0_Mb        2.962e+00+/-1e+00 2.603e+00+/-8e-01
  backlog_p99_c1_Mb        2.818e+00+/-9e-01 2.874e+00+/-1e+00
  backlog_p99_c2_Mb        2.950e+00+/-1e+00 3.149e+00+/-1e+00
  backlog_sd_c0_Mb         5.698e-01+/-2e-01 4.808e-01+/-1e-01
  backlog_sd_c1_Mb         5.525e-01+/-2e-01 5.927e-01+/-2e-01
  backlog_sd_c2_Mb         5.454e-01+/-1e-01 6.138e-01+/-2e-01
  forecast_mase_c0         9.165e-01+/-7e-03 9.314e-01+/-1e-02
  forecast_mase_c1         9.150e-01+/-5e-03 9.666e-01+/-2e-02
  forecast_mase_c2         9.148e-01+/-4e-03 9.627e-01+/-3e-02
  forecast_sd_ratio_c0     8.060e-01+/-6e-03 7.911e-01+/-1e-02
  forecast_sd_ratio_c1     7.949e-01+/-1e-02 7.778e-01+/-9e-03
  forecast_sd_ratio_c2     7.955e-01+/-9e-03 7.749e-01+/-9e-03
  slot_err_c0              3.624e+01+/-4e-01 3.776e+01+/-8e-01
  slot_err_c1              3.655e+01+/-6e-01 3.855e+01+/-8e-01
  slot_err_c2              3.679e+01+/-6e-01 3.824e+01+/-7e-01

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = +0.1523 +/- 0.2727 Mb   linearp better in 1/10
    dimbalance[linearp-dlinear] = -0.0629 +/- 0.0936 Mb   linearp better in 5/10
    dmax[linearp-dlinear] = +0.2443 +/- 0.5293 Mb   linearp better in 3/10
    dmean[linearp-dlinear] = -0.0192 +/- 0.0300 Mb   linearp better in 6/10
  * dmase[linearp-dlinear] = -0.0382 +/- 0.0269    linearp better in 10/10
  * dmase_eq[linearp-dlinear] = -0.0382 +/- 0.0270    linearp better in 10/10
  * dmase_worst[linearp-dlinear] = -0.0817 +/- 0.0594    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0178 +/- 0.0095    linearp better in 2/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0175 +/- 0.0091    linearp better in 2/10
    loss[linearp]/loss[dlinear] = 0.894 (x/ 1.037)   linearp better in 5/5

========================================================================
sample_dt = 60s   decisions/replicate = 120
  metric                             linearp           dlinear
  loss_ratio               8.975e-05+/-5e-05 1.014e-04+/-6e-05
  backlog_mean_Mb          1.258e+00+/-2e-01 1.280e+00+/-2e-01
  backlog_sd_Mb            9.890e-01+/-3e-01 1.002e+00+/-3e-01
  backlog_p95_Mb           3.441e+00+/-1e+00 3.454e+00+/-1e+00
  backlog_p99_Mb           4.854e+00+/-1e+00 4.809e+00+/-1e+00
  backlog_max_Mb           1.066e+01+/-2e+00 1.055e+01+/-2e+00
  backlog_max_cell_Mb      6.543e+00+/-8e-01 6.471e+00+/-8e-01
  backlog_mean_cell_max_Mb 4.621e-01+/-8e-02 5.064e-01+/-1e-01
  backlog_imbalance_Mb     8.424e-02+/-2e-02 1.550e-01+/-8e-02
  waste_avoidable_pct      4.978e+00+/-6e-01 4.979e+00+/-6e-01
  served_Mbps              7.507e+02+/-4e+00 7.507e+02+/-4e+00
  forecast_mase            9.219e-01+/-1e-02 9.660e-01+/-3e-02
  forecast_mase_eq         9.223e-01+/-1e-02 9.671e-01+/-3e-02
  forecast_mase_worst      9.484e-01+/-1e-02 1.053e+00+/-6e-02
  forecast_sd_ratio        7.507e-01+/-1e-02 7.509e-01+/-9e-03
  forecast_sd_ratio_eq     7.460e-01+/-1e-02 7.467e-01+/-9e-03
  slot_err                 1.418e+02+/-2e+00 1.479e+02+/-3e+00
  deficit_Mb_per_period    1.174e-01+/-1e-01 1.651e-01+/-1e-01
  surplus_Mb_per_period    7.853e+02+/-9e+01 7.853e+02+/-9e+01
  backlog_max_c0_Mb        5.654e+00+/-1e+00 5.707e+00+/-1e+00
  backlog_max_c1_Mb        6.170e+00+/-9e-01 6.201e+00+/-9e-01
  backlog_max_c2_Mb        5.573e+00+/-9e-01 5.561e+00+/-9e-01
  backlog_mean_c0_Mb       4.238e-01+/-7e-02 3.809e-01+/-4e-02
  backlog_mean_c1_Mb       4.346e-01+/-8e-02 4.394e-01+/-8e-02
  backlog_mean_c2_Mb       3.999e-01+/-6e-02 4.601e-01+/-1e-01
  backlog_p95_c0_Mb        1.505e+00+/-5e-01 1.018e+00+/-2e-01
  backlog_p95_c1_Mb        1.543e+00+/-6e-01 1.698e+00+/-7e-01
  backlog_p95_c2_Mb        1.263e+00+/-4e-01 1.525e+00+/-7e-01
  backlog_p99_c0_Mb        3.204e+00+/-1e+00 3.094e+00+/-1e+00
  backlog_p99_c1_Mb        3.427e+00+/-1e+00 3.421e+00+/-1e+00
  backlog_p99_c2_Mb        3.307e+00+/-1e+00 3.300e+00+/-1e+00
  backlog_sd_c0_Mb         6.420e-01+/-2e-01 5.669e-01+/-1e-01
  backlog_sd_c1_Mb         6.620e-01+/-2e-01 6.752e-01+/-2e-01
  backlog_sd_c2_Mb         6.131e-01+/-2e-01 6.844e-01+/-2e-01
  forecast_mase_c0         9.284e-01+/-1e-02 9.329e-01+/-9e-03
  forecast_mase_c1         9.313e-01+/-1e-02 9.899e-01+/-4e-02
  forecast_mase_c2         9.073e-01+/-1e-02 9.785e-01+/-7e-02
  forecast_sd_ratio_c0     7.586e-01+/-1e-02 7.534e-01+/-1e-02
  forecast_sd_ratio_c1     7.445e-01+/-2e-02 7.409e-01+/-1e-02
