policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0005334031421924192,2874.107885427493,1.5831162416736393,0.0,747.968316563273,3.481984285649373,3.859534829042724,23.389958935920216,12.836307427955212,17.884097121307356,2130.888520894773,743.0932817848939,0.1260827478260435,1.2975805452381073,2.052363107051563,8.280712621619246,1.4099876178980448,1.9086957381381373,8.388608,0.7744161225128553,0.8250133361356127,8.370447399028308,8.388608,1.4099876178980448,0.6355714953851895,7.1823815171757435,7.788408676339418,6.458904270661306,7.827599784599196,2.481611375657845,4.216022882899124,0.8966828142739197,0.7755320978797988,3.709696200990608,0.9159988577037232,0.8228366916393925,0.8901152723214688,0.6952203324724295,0.8582003991060515,0.5037831195994413,0.8881048430437478,0.9159988577037232,0.6739467145704211,4.504475642135035,4.376374660667203,2.2482383001695854,0.48408701916958785,6.300266960477309,5,1.5,4800,6300.0,0.9846942633123504,748.3676401173864,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9759620925878335,0.8686973534074464,0.7573770216243036,1500,900,450,150,6|3|1,True,True,
dlinear,0.0005216946709821397,2811.0197504505422,1.5819633152303556,0.0,747.9770788042523,3.5273776100828274,3.8950126130528147,23.56142487776033,12.958106336063683,18.091657788845435,1936.7686569817884,872.7477959452256,1.5032975235287844,1.243139534876345,1.9964339071929604,8.271789353785874,1.4625572078789488,1.9661041762594806,8.388608,0.8216808673269552,0.8734665568657988,8.388608,8.388608,1.4625572078789488,0.6408763405519937,7.115495180609188,7.7824289772637005,6.659162279979845,7.859721078781469,2.6435476119081165,4.3431446229452355,0.9054704629547055,0.7446322448135845,3.678559411589623,0.9328054378743591,0.8019008118068441,0.8928828503097657,0.636032490806857,0.8592188998820525,0.5012760310622155,0.8949690626887258,0.9328054378743591,0.6464031112253056,4.4516246684020295,4.347748076763437,2.2363054896034034,0.4874943490334366,6.303674290341159,5,1.5,4800,6300.0,0.9846942633123504,748.3676401173864,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9759620925878335,0.8686973534074464,0.7573770216243036,1500,900,450,150,6|3|1,True,True,
linearp,2.414938645672644e-05,128.86401988178014,2.485561636827732,0.0,741.1097315601052,1.6833414817843972,1.4038477868671004,16.95163775715948,4.19572449020698,8.400504597035605,82.68399989653854,46.18001998524161,0.0,0.46743946215753057,0.7300110953428317,8.201464955685367,0.688720158561167,0.9345660271488806,8.388608,0.5271818610657829,0.461958520485273,5.989712471703183,8.388608,0.688720158561167,0.22128069640363637,0.9382983339121296,4.414797730645978,2.5064300097213983,5.172923298184587,1.391642646032082,2.436420257507867,0.8965125993841716,0.7866369171632518,3.5669569554573464,0.9245465409880999,0.8334408906237503,0.8880949647051871,0.7023309944789683,0.8392620612464934,0.5177479927320339,0.8839678556465934,0.9245465409880999,0.6845066259449175,4.316424035246877,4.25025899114115,2.134187839984011,0.08599221002782391,9.522115334626504,6,1.5,4800,6300.0,0.9751680970405268,741.1277537508004,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9584967116979186,0.8787356432001787,0.7958085853883693,1500,900,450,150,6|3|1,True,True,
dlinear,2.7098416153044557e-05,144.6003957147342,2.4858492167953807,0.0,741.1075459523634,1.8481710499643393,1.561989909076689,16.53805344363101,4.91940511705004,8.686212054842123,53.869503161347396,90.7308925533868,0.0,0.42496230180173616,0.6317808215877464,8.24125062453023,0.8423963561092874,1.1633722586439013,8.388608,0.5808123920531459,0.5256259107971888,5.989712471703185,8.388608,0.8423963561092874,0.4174340543075513,0.7806939806989123,3.5092258454592944,3.36866826064299,6.164914742129969,1.627067533392054,2.730148567220326,1.0134794032803611,0.7562627949282362,3.6837440582104493,1.1821159606598406,0.8008976508131223,0.8915994785275541,0.674713294804324,0.8417288491250694,0.5150092964761624,0.9718147627708215,1.1821159606598406,0.6635400806978695,4.4629132917460455,4.4619710981151615,2.1263477847701404,0.11927633748732738,9.555399462086005,6,1.5,4800,6300.0,0.9751680970405268,741.1277537508004,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9584967116979186,0.8787356432001787,0.7958085853883693,1500,900,450,150,6|3|1,True,True,
linearp,0.001499434429124006,8137.850949380122,0.9660368543160324,0.0,752.6581199072016,5.983178440841933,5.244794928295633,23.281634920406873,16.570028630317285,19.017706015914158,6138.278221125998,1998.2079789722943,1.3647492818293552,2.5068112797829,2.831340773716458,8.27130610699805,2.3264169685126834,2.4709002645903357,8.388608,1.1499501925464752,1.1349886909844016,8.388608,8.388608,2.5068112797829,1.3568610872364244,7.628608,7.916797094866047,7.569398682227988,8.028777230578314,3.582558346298028,5.066035733301083,0.8966805929402314,0.7833292816386931,3.7395291967439146,0.927800714263156,0.8348869595637955,0.8823853538117724,0.6796152646782332,0.8444663200739971,0.5197322931136678,0.8848841293829751,0.927800714263156,0.6780781724518988,4.533240284391737,4.4004664904143285,2.284880815425678,1.0554811541525642,4.161015364412776,7,1.5,4800,6300.0,0.9918275415519479,753.7889315794804,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9479707709619304,0.9135526744126167,0.7620961783929007,1500,900,450,150,6|3|1,True,True,
dlinear,0.0015115085711030953,8203.380702371645,0.9672428657395947,0.0,752.648954220382,5.94030518449163,5.188896939439063,23.408103171916196,16.45258931112591,18.886601188092765,6279.749017274571,1922.128108886485,1.5035762105889023,2.537842744070039,2.8434363452071567,8.283709599073656,2.288376657557667,2.4440599308843414,8.388608,1.1140857828642297,1.1005297684679851,8.388608,8.388608,2.537842744070039,1.423756961205809,7.629783678646106,7.926060405180509,7.556945316896816,8.03975658478621,3.4802709053192844,4.96480229612906,0.8997910621053374,0.7660544718317569,3.7491135675431386,0.9319458191677287,0.8107963445913347,0.885307299022766,0.6792352837893089,0.845127542614211,0.5199212302442622,0.8874602202682352,0.9319458191677287,0.6699842862083019,4.553597206636732,4.406002503511222,2.2877409924814627,1.0552991227406303,4.160833333000842,7,1.5,4800,6300.0,0.9918275415519479,753.7889315794804,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9479707709619304,0.9135526744126167,0.7620961783929007,1500,900,450,150,6|3|1,True,True,
linearp,7.196866196029982e-05,384.5137615109148,2.3682577681964916,0.0,742.0012409616826,1.8648042437319998,1.8342857190542976,19.52628230509701,5.156147267105251,10.38197239856154,285.70700353348195,98.80675797743288,0.0,0.5357056278966643,0.9291264799081302,8.262258671437635,0.76941240512311,1.110141429894372,8.388608,0.559686210712336,0.5128187815086216,6.6555559682135925,8.388608,0.76941240512311,0.23370677722644573,1.3701443376808937,6.446001805882671,2.9703749114162594,6.277583426925196,1.546899169006831,2.6496902950298518,0.8858995991424709,0.7881733093955919,3.5583182847536623,0.9127977506536409,0.8428330106263259,0.8741684520363152,0.673891270993664,0.8398192203106756,0.47558753292744704,0.8755951410002106,0.9127977506536409,0.664103938182479,4.296266696722139,4.271533356150725,2.107154801388123,0.12844177739599563,9.101055383826276,8,1.5,4800,6300.0,0.9763878589304426,742.0547727871364,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998944722944533,0.8572056138331601,0.7675498601844919,1500,900,450,150,6|3|1,True,True,
dlinear,7.131953026677129e-05,381.04558435719343,2.3681943877660943,0.0,742.0017226529552,1.8718543504192726,1.8351549163692875,19.723722765741826,5.200757637581489,10.311081379991142,284.0482819576638,96.99730239952964,0.0,0.5342143645321927,0.925651506381205,8.268894815877525,0.7742092824582426,1.1129025575088645,8.388608,0.5634307034290101,0.5199654440282167,7.0740281321598655,8.388608,0.7742092824582426,0.2399949179260499,1.3592238763619946,6.370292640298379,3.018074010089748,6.2491522347021835,1.5747370635197964,2.6769255010045176,0.888252391704858,0.7885082520608429,3.5522970958786604,0.9142815096834055,0.8367521803015449,0.8771658536481486,0.6919701579087953,0.8430053705246157,0.48765198047237285,0.8781509112853899,0.9142815096834055,0.6721247728942377,4.292340271975937,4.264605957523986,2.0999450581360573,0.1307518470203743,9.103365453450653,8,1.5,4800,6300.0,0.9763878589304426,742.0547727871364,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998944722944533,0.8572056138331601,0.7675498601844919,1500,900,450,150,6|3|1,True,True,
linearp,0.003658863839154981,19972.500230197267,0.6089415197255742,0.0,755.372044450091,8.568989364337229,6.069313547214207,23.534333734277045,18.8259861630341,20.967372595578425,15491.627745196083,4474.252443989329,6.620041011857983,3.797231771813692,3.121166179560006,8.321735867901372,3.2253176744017504,2.8028497038338043,8.388608,1.5464399181217863,1.4446289780226034,8.388608,8.388608,3.797231771813692,2.2507918536919056,7.804510744363893,8.015143327763704,7.845854612405321,8.088255653984456,4.583978358233366,6.274853441306911,0.8976931512140216,0.8039064960907664,3.9858600046702706,0.9231258400860082,0.8508774268656958,0.8876020034991094,0.6860097627004852,0.8485909832351648,0.5459397397876388,0.8864396089400941,0.9231258400860082,0.69427564311794,4.835956081971196,4.607222832005105,2.514401100034512,1.984615864686206,2.910880512765296,9,1.5,4800,6300.0,0.9975624614524243,758.1474707038425,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998934489898447,0.9265759145813612,0.8017010449464603,1500,900,450,150,6|3|1,True,True,
dlinear,0.0036402893552459773,19871.108404631534,0.6070885989367493,0.0,755.3861266480739,8.612198082190883,6.119517675089783,23.534333734277045,19.019449064179046,21.12909286292496,15523.434010600926,4338.134599339923,9.539794690685591,3.7933365211787438,3.1186371225476304,8.3268099926886,3.1763672604253035,2.789399915524019,8.388608,1.6424943005865653,1.5078736042666072,8.388608,8.388608,3.7933365211787438,2.1508422205921782,7.8052715703523665,8.011639963477617,7.841164911138326,8.089316351518026,4.783645659172555,6.502495185944422,0.8988204317521192,0.8033221559414238,4.027835349928054,0.9238507650033357,0.8459683027325146,0.8883462457081354,0.7001863118329454,0.8518334715200817,0.5423513446230532,0.888010160743851,0.9238507650033357,0.6961686530628377,4.891198968439716,4.667921667537646,2.524385413806801,1.9936634997209501,2.9199281478000403,9,1.5,4800,6300.0,0.9975624614524243,758.1474707038425,760.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998934489898447,0.9265759145813612,0.8017010449464603,1500,900,450,150,6|3|1,True,True,
