idx,truth,norros_f,linearP_f,farima_f,persist
6316,244895669.86865234,247672909.54781678,247683102.12447202,247694814.07677802,245356252.7348149
6317,246357522.22924805,247141407.04409754,247242376.45896187,247213597.14722112,244895669.86867797
6318,250395563.0324707,247504584.89055628,247601029.49373993,247571957.84452522,246357522.22934297
6319,246995151.87280273,249074177.2182172,249114978.73928759,249090026.23925442,250395563.03240895
6320,243704456.90478516,248086170.14663625,248061853.56373987,248083226.28937498,246995151.87285307
6321,251066055.94189453,246672155.82448897,246741245.55326274,246730807.54028004,243704456.9048285
6322,251976384.27368164,249180214.9021277,249271114.7269053,249215518.68475252,251066055.94188383
6323,252541256.41601562,249975146.5631589,249903253.26555815,249923134.20374236,251976384.27360472
6324,253838428.48779297,250480483.52514628,250395500.2212508,250408777.31977,252541256.4159542
6325,251650837.76391602,251217209.78894952,251117367.18282768,251131855.80250782,253838428.48775384
6326,250570759.65966797,250616890.06474936,250507152.16235405,250538874.60402575,251650837.76392204
6327,250705646.16625977,250174276.4955098,250120867.48723763,250132047.10903302,250570759.65970853
6328,247865651.42797852,250186950.89897174,250157634.10551664,250162867.123938,250705646.16618595
6329,247860406.30151367,249056046.92884904,249039281.19184846,249055234.10768867,247865651.4280874
6330,249238615.85424805,248801287.88211802,248844322.9998912,248831959.83997312,247860406.30153456
6331,252549437.8935547,249185757.87678823,249215764.47108975,249204454.43804806,249238615.8543095
6332,251923563.38452148,250520437.19783357,250503018.47181728,250495924.10217646,252549437.89353183
6333,249306987.234375,250580170.1566053,250498338.58832234,250522934.75469458,251923563.38445097
6334,247355853.0234375,249691357.28288242,249643972.253386,249663659.6191893,249306987.23436764
6335,249096678.69628906,248763733.37493142,248781344.72066694,248781739.31641695,247355853.0233249
6336,247841924.76513672,249213553.55153316,249259724.52132198,249241425.81388012,249096678.6963527
6337,249482940.59838867,248750802.81785837,248764774.738051,248770440.39190376,247841924.7651136
6338,248322509.2487793,249278973.42767346,249310821.25295633,249296408.28060278,249482940.5982673
6339,247534136.3581543,248896503.99019444,248897404.39049277,248904468.19249004,248322509.2487464
6340,248516496.7644043,248513798.590244,248543860.7239667,248538493.43159714,247534136.35826293
6341,250023434.58569336,248784526.91924652,248823405.46159166,248809812.22600418,248516496.76449236
6342,248951617.06469727,249371192.90404302,249378349.70695642,249371217.36182687,250023434.58576524
6343,247408787.41625977,249085916.12158483,249068232.8549593,249076745.07682586,248951617.06470573
6344,247127805.74267578,248461611.96775034,248476433.8753925,248475865.732878,247408787.41629785
6345,250682465.46240234,248212516.76064467,248259316.314864,248246724.5873834,247127805.74266344
6346,248256358.49829102,249503376.90608928,249534376.16110227,249512523.80603626,250682465.4623297
6347,248806030.64746094,248786077.36663896,248754578.86622363,248774151.71913087,248256358.49824905
6348,249857074.96435547,248904542.61297053,248924299.10789663,248911921.09725603,248806030.6474172
6349,248976597.578125,249313421.40774614,249312753.8231095,249307535.23770675,249857074.9642513
6350,251592627.38256836,249051488.4267848,249034337.50416413,249040217.6031432,248976597.57812288
6351,249649228.33911133,250052776.42407644,250041655.729576,250030090.86504596,251592627.3826126
6352,249845708.7944336,249519768.0539117,249464983.4832252,249485934.2517065,249649228.33915895
6353,250666185.57641602,249564474.74485642,249554135.0265638,249550879.13438815,249845708.794368
6354,249933541.0498047,249911816.15048718,249892212.31425694,249893140.45745957,250666185.5763223
6355,250578347.70825195,249720271.15450323,249689818.00190485,249700554.07590201,249933541.0498461
6356,250810933.38842773,249949814.78713912,249932383.46494,249932840.45936686,250578347.7083087
6357,247486743.91748047,250090882.62842712,250059141.07689646,250066479.8874131,250810933.38849133
6358,254471803.45507812,248819740.0485165,248801696.82536095,248818207.17328674,247486743.9173749
6359,251522614.75073242,251309237.22129214,251323307.5863091,251288621.64025122,254471803.45497328
6360,251220503.01049805,250659353.69958365,250541869.59213182,250590171.20652133,251522614.75072283
6361,246334721.27026367,250552775.02542084,250509599.71514142,250516954.9736607,251220503.01049516
6362,243464257.28149414,248627367.1004555,248615005.80624828,248638078.1011668,246334721.2702538
6363,244999968.57788086,247061766.3420741,247165776.25106388,247148177.12889165,243464257.28152552
6364,247229943.1159668,247185572.28606418,247332197.53075767,247291246.088619,244999968.57792485
6365,247869012.1303711,247918376.2840895,248013129.64378586,247986316.86137623,247229943.11593813
6366,247015756.8515625,248254873.66118324,248298270.7549364,248288427.8854926,247869012.13048896
6367,248061780.84399414,247972470.3552017,248006413.32066223,248000262.69184217,247015756.85146415
6368,251809921.17456055,248332530.70567364,248376784.362959,248358583.29828465,248061780.84390372
6369,250338507.64868164,249897988.78696352,249900307.42505166,249884970.27928466,251809921.17452756
6370,249401050.1923828,249678815.18611225,249613008.71546644,249636519.61902192,250338507.64865652
6371,247617785.27539062,249372995.52026063,249348676.87622136,249353655.58803114,249401050.1923813
6372,248015645.11279297,248639524.03531736,248644163.582485,248647769.5166755,247617785.275349
6373,252596218.42016602,248613081.40476274,248651479.889521,248637869.54973105,248015645.1126977
6374,246492441.60229492,250348783.2370622,250351147.65066627,250332600.02978247,252596218.420068
6375,247528566.7841797,248325906.34465873,248267156.70263198,248308570.51918414,246492441.602335
6376,251225290.484375,248378691.70178604,248446321.351255,248416392.8412283,247528566.784159
6377,248739808.0546875,249755606.5508462,249773809.21244347,249756121.714086,251225290.4843408
6378,248520151.25708008,249066025.3580401,249022484.19364586,249045472.7486298,248739808.05469
6379,248849530.42626953,248909181.0947889,248923424.79252028,248916145.54541266,248520151.25704652
6380,246577817.36401367,248972647.165115,248986263.15510672,248980585.77726054,248849530.4263752
6381,253425583.1525879,248066048.56913453,248084299.62099242,248087539.2817495,246577817.36396465
6382,252403782.6057129,250540781.57638347,250568287.65934947,250530573.30461788,253425583.15246788
6383,250958856.95483398,250647644.70744982,250536777.9287036,250573374.43045667,252403782.605732
6384,253133860.19506836,250253945.38065562,250182500.6810301,250200169.7389045,250958856.9549005
6385,251573772.52612305,251109038.38484356,251057841.44885427,251058497.4870827,253133860.1951511
6386,252911782.53759766,250708594.263808,250622299.42982003,250651074.76018596,251573772.5261652
6387,250956734.38842773,251229019.97449863,251173508.82055816,251179608.5473337,252911782.53752783
6388,249394917.3178711,250609885.94674635,250538129.02156916,250566020.47245964,250956734.3883309
6389,250728852.17504883,249918030.14532623,249899599.9557056,249909985.0888238,249394917.31781435
6390,249790819.79125977,250265085.11368164,250270090.96180138,250265234.76477918,250728852.1750461
6391,247872078.33642578,249924381.18562254,249904890.8074828,249918092.60162574,249790819.7912648
6392,247469591.48120117,249105629.66612294,249117087.6322477,249123667.29326597,247872078.3364761
6393,245944653.13867188,248749746.41942272,248801861.72039974,248792538.81125528,247469591.481321
6394,244786130.62353516,247981899.6724967,248045563.05386996,248039278.30717,245944653.13868567
6395,243862627.04736328,247290842.46924075,247388914.19156003,247371087.8003945,244786130.6235254
6396,240603373.39013672,246674517.61478144,246795811.18876877,246771436.5116676,243862627.0473405
6397,244958530.24194336,245139133.88423607,245290173.1632486,245266861.056103,240603373.39002216
6398,248662275.82592773,246386516.5627657,246574758.72079164,246509181.376996,244958530.24206373
6399,248114444.82910156,247920499.81921282,247987518.6569697,247960250.2558003,248662275.82580632
6400,246769838.7998047,248040362.82567242,248035157.418892,248037155.47470152,248114444.8290088
6401,249237426.15795898,247629481.1144792,247646381.84129795,247640048.7385048,246769838.7998362
6402,250186670.95898438,248540773.65090677,248571521.82360893,248546863.74696487,249237426.15787613
6403,245721361.4489746,249111011.95971936,249084753.17937595,249084551.81936923,250186670.95890668
6404,247586037.78222656,247549346.24919012,247532344.17035854,247548472.98527595,245721361.4488592
6405,253276704.0690918,247988138.07101467,248054329.85260168,248020452.4610309,247586037.78216457
6406,246305649.38891602,250264995.37587214,250257980.99023592,250236349.1333782,253276704.06907144
6407,245741886.2692871,248018593.98024866,247933353.91190776,247981798.37492302,246305649.38885617
6408,248067663.57250977,247445008.78041258,247515513.97886783,247486387.16285807,245741886.2692839
6409,245134585.47924805,248124265.04762366,248184367.2112479,248156344.23673943,248067663.5726268
6410,243154048.7373047,247058381.22305074,247084738.00655967,247087478.50031337,245134585.47926077
6411,244390266.71850586,246071121.17319503,246170831.04660437,246145899.5941196,243154048.7372049
6412,243256316.81518555,246262171.0219834,246390513.64055872,246348566.41262785,244390266.7184748
6413,247030564.3046875,245741623.43569303,245844858.50886515,245821132.57755005,243256316.8152992
6414,243848104.00854492,247045990.20791548,247149826.9406579,247102313.9070363,247030564.30470315
6415,248999130.10302734,246024730.44825715,246063016.23832104,246063252.0644071,243848104.0086399
6416,246933183.36206055,247866673.4803395,247946593.11008734,247895093.52363026,248999130.1030313
6417,242263873.89746094,247396597.16871402,247375338.5954151,247385845.03142205,246933183.3619717
6418,243518630.3515625,245554777.5896793,245608343.3150749,245600833.56520727,242263873.8974083
6419,251153060.10668945,245632417.62423378,245772287.24985248,245719769.71417105,243518630.35157475
6420,248221105.67993164,248518624.64216504,248583379.95982766,248531899.77512774,251153060.10663697
6421,248312079.37353516,247975713.22441623,247900029.41943958,247928582.87222332,248221105.67987603
6422,245654129.9453125,248037106.8326556,248030698.7244229,248015849.57594088,248312079.3734588
6423,244808161.6069336,247069829.1949195,247074513.49375904,247074219.12089208,245654129.9453529
6424,252591760.64501953,246560659.93158036,246627937.47021037,246603661.58073378,244808161.6069767
6425,248206630.79174805,249427747.5842408,249466261.55754173,249418065.0616715,252591760.6451321
6426,252398668.6743164,248304609.58468956,248204978.47512066,248246223.69020608,248206630.7916493
6427,251388157.76245117,249880545.37476042,249861291.52489868,249834131.45908248,252398668.6743956
6428,248130316.36010742,249851699.81422934,249747671.54304293,249773696.84629583,251388157.7623506
6429,250857011.55297852,248726367.78013238,248672056.32247528,248689467.95254922,248130316.36012056
6430,248273999.88061523,249588653.61782545,249588120.13444492,249568694.36009905,250857011.55294192
6431,245853240.80908203,248724601.57103974,248678841.5492673,248699003.43656972,248273999.8805309
6432,247354248.8347168,247635509.8892829,247661215.42325985,247657138.32001534,245853240.80919507
6433,246741392.98583984,247925852.87211403,247988823.10976025,247961836.44265273,247354248.83480027
6434,247261022.8557129,247654562.78709987,247685277.74459144,247678597.26426646,246741392.985733
6435,245456820.53857422,247753948.94065195,247793682.79539815,247776043.43476263,247261022.85572323
6436,244489245.31323242,247024785.71088868,247060074.24299228,247053185.42008767,245456820.53850123
6437,249698320.4194336,246465997.266612,246542852.34384772,246519522.7832822,244489245.3131606
6438,251354645.15405273,248303207.30402702,248366906.30099973,248323288.36489964,249698320.4195076
6439,249615357.9716797,249284989.61936438,249228499.7958034,249232952.23142287,251354645.15407056
6440,249976703.68823242,248922449.78922924,248848314.04141226,248863806.0790188,249615357.971732
6441,250532558.6796875,249096347.51479307,249060605.93896335,249055460.48852456,249976703.6883241
6442,251142826.29467773,249393686.1621884,249348487.3728815,249348927.61782417,250532558.67970252
6443,247723397.82470703,249747759.33929437,249691769.34060973,249695297.85210115,251142826.29463103
6444,248821330.77685547,248544037.04978016,248496986.83574137,248514785.7197493,247723397.82460767
6445,251445968.71557617,248792402.26262468,248814415.22708723,248795559.62302938,248821330.7768165
6446,254878938.36547852,249833424.82540333,249816049.85816365,249807880.01293012,251445968.71550584
6447,250580216.9633789,251404881.4786036,251316902.72074145,251323097.9107719,254878938.36551848
6448,251957205.14746094,250154429.1990701,250023834.44742987,250070488.74517265,250580216.96344712
6449,248287218.87695312,250581454.8904781,250540819.001167,250536075.8214884,251957205.1475443
6450,243821517.72192383,249229882.70388868,249178696.8477989,249205317.1655636,248287218.87701344
6451,242194250.46362305,247195456.04223636,247246818.73871085,247245829.7407056,243821517.72182623
6452,245416696.15698242,246034002.47321156,246180381.16973382,246147065.87945652,242194250.46370903
6453,244170472.90429688,246852231.4709664,247006134.6332972,246955832.51798233,245416696.1570727
6454,248610926.42895508,246323480.08032864,246407315.9412038,246393161.92036012,244170472.9043604
6455,248635444.11889648,247907429.67842913,247991467.4832282,247946914.4303563,248610926.42906624
6456,251126169.98901367,248209848.60363543,248197496.1093805,248198787.35361904,248635444.11895415
6457,255657523.5822754,249312501.19534126,249290691.25335827,249276863.67434552,251126169.989072
6458,249300378.89331055,251396150.20322755,251299583.2639417,251298859.8228194,255657523.58219287
6459,247679531.62402344,249505300.69559017,249357626.39689004,249413954.55210286,249300378.89332107
6460,249242210.36572266,248659275.29746237,248662532.62845024,248653194.23486322,247679531.6239595
6461,249073559.47851562,249073239.25534979,249098212.93360692,249081470.94380757,249242210.36572725
6462,246795461.20117188,249029581.7768171,249021415.12430722,249023047.61603767,249073559.47847828
6463,246172286.15429688,248153531.95961407,248164424.9348638,248167812.9349125,246795461.20110625
6464,249794166.4020996,247690848.1075225,247751269.96591055,247733775.0176726,246172286.1542512
6465,248371974.2644043,248932954.70176935,248981892.495381,248952463.54815236,249794166.4022192
6466,245346003.2529297,248616978.67874518,248596849.25184157,248608264.75538486,248371974.2644662
6467,248288010.7397461,247439779.3661017,247471424.661071,247470541.29905945,245346003.25286105
6468,246796082.42041016,248296601.24148652,248371310.0903973,248335550.07359895,248288010.7398587
6469,251462967.1201172,247816983.38768336,247834164.7695089,247836428.6458208,246796082.42042923
6470,250764017.4638672,249549477.86781475,249574708.3982218,249544019.5836314,251462967.1202165
6471,247131513.1616211,249651111.0730732,249580938.30222255,249601498.32276264,250764017.4637854
6472,241172047.81884766,248390858.11661077,248364561.1268669,248379585.0198734,247131513.161723
6473,241840640.39575195,245798922.13591287,245878681.1087543,245875243.3444401,241172047.81888723
6474,247610902.38354492,245421019.66807577,245615461.8308395,245558513.94552657,241840640.3956551
6475,244581065.50170898,247353747.56949598,247490443.9773713,247434861.99699822,247610902.38354337
6476,245499035.72924805,246445548.09059414,246473546.70780638,246480241.68203372,244581065.5016203
6477,250952366.50390625,246663900.80799526,246753795.41285357,246717499.71521991,245499035.7293418
6478,244991590.28027344,248781330.57783666,248816010.36556867,248779911.88318115,250952366.5039769
6479,247893494.8395996,246908996.15417823,246863470.78808424,246894461.66647315,244991590.28018856
6480,247615226.9897461,247777602.16008174,247847933.79976562,247803057.3278885,247893494.8395463
6481,246327312.53125,247794776.72705108,247799431.98769364,247795416.92961875,247615226.98968747
6482,246693688.36865234,247331645.93915462,247354000.5156215,247344821.22919658,246327312.53132352
6483,248462780.74267578,247383429.89105368,247430116.843009,247408038.71018025,246693688.36871853
6484,250249927.0522461,248072351.96647832,248100135.38760608,248079691.86838356,248462780.74271595
6485,247607700.0180664,248945783.57671693,248929072.20862186,248921268.79587856,250249927.0522403
6486,244681383.16357422,248148370.19550622,248112371.8130355,248125976.0709221,247607700.01803485
6487,247301782.12158203,246892047.13229156,246929614.13432193,246921742.5620405,244681383.1636628
6488,248813405.0288086,247618913.7466536,247699848.79698014,247661487.45358315,247301782.12147257
6489,248585520.65014648,248278372.97225368,248292234.28906938,248280878.70155635,248813405.0287836
6490,246282184.80810547,248341241.86537418,248327839.22993135,248326648.05519935,248585520.6502374
6491,244317593.56958008,247487868.59041384,247492761.3421667,247492566.7975186,246282184.80810755
6492,242699734.24023438,246562243.31719285,246625725.69512877,246608837.38194028,244317593.56967813
6493,247460512.82666016,245673055.13760895,245782078.63457817,245754697.38570538,242699734.24030104
6494,246693668.25878906,247236431.2129499,247348355.73820052,247295727.73835447,247460512.82668945
6495,250458536.37158203,247141267.12868398,247151656.08402407,247149944.7415959,246693668.25877568
6496,247154125.33081055,248645892.951688,248656212.24428937,248627879.77293316,250458536.3715469
6497,249433202.61743164,247682679.68510997,247631341.55898207,247649878.68986526,247154125.330776
6498,253103431.13964844,248468329.42055938,248479280.48395184,248451999.89095077,249433202.6174343
6499,250550491.63232422,250091938.95378795,250033833.28069112,250026217.33081076,253103431.1397389
6500,253585178.2722168,249549680.14413503,249437211.28502354,249468478.88061565,250550491.63234437
6501,251987740.87695312,250777073.7585853,250709567.854004,250701916.21377933,253585178.2722484
6502,252933174.3461914,250500334.65651423,250381422.86848608,250413702.6000155,251987740.87686253
6503,247835106.6538086,250932865.12268543,250850512.6598325,250859313.7973649,252933174.3461271
6504,251460489.78393555,249093192.8512599,249020743.10904703,249056296.09480834,247835106.653758
6505,244016281.58203125,250165583.59349656,250184027.38147706,250158217.2974624,251460489.78395995
6506,241773297.58666992,247359959.6647697,247336169.99625006,247374205.7650475,244016281.5821286
6507,246679510.19702148,245884945.94390342,246030696.66712654,245994033.5147456,241773297.5866047
6508,244955583.86157227,247290731.17984807,247443044.92354932,247385281.62857634,246679510.1969228
6509,250067865.02001953,246723542.33170855,246775635.9049725,246773303.56346586,244955583.86157063
6510,243384086.77124023,248581957.22525817,248643106.25568384,248600481.20847812,250067865.02013528
6511,249313837.42138672,246328891.52681366,246315111.3746454,246343725.7183565,243384086.77117783
6512,248669395.9128418,248252744.2481423,248351567.74341792,248289455.89617485,249313837.4213022
6513,246764166.63598633,248298559.46670145,248268247.50248107,248278471.39374885,248669395.9128397
6514,248250312.8251953,247636534.23164734,247636926.43054464,247634177.26346448,246764166.63587588
6515,251825576.90185547,248123227.86991158,248155317.6734921,248131965.30486903,248250312.82522103
6516,250490528.4970703,249600481.69460204,249579989.359721,249565471.41195953,251825576.9018606
6517,249768075.48657227,249451365.296876,249368065.16511175,249389786.8762015,250490528.49697545
6518,245823479.04125977,249237550.39528966,249192224.78557295,249196142.59352922,249768075.48649597
6519,248385160.95361328,247676498.6164667,247667952.7829636,247677356.80780882,245823479.0413062
